Date,Close
1/2/2014 15:59:59,305
1/3/2014 15:59:59,305
1/6/2014 15:59:59,290
1/7/2014 15:59:59,316
1/8/2014 15:59:59,312
1/9/2014 15:59:59,312
1/10/2014 15:59:59,314
1/13/2014 15:59:59,324
1/15/2014 15:59:59,346
1/16/2014 15:59:59,329
1/17/2014 15:59:59,342
1/20/2014 15:59:59,337
1/21/2014 15:59:59,344
1/22/2014 15:59:59,344
1/23/2014 15:59:59,341
1/24/2014 15:59:59,333
1/27/2014 15:59:59,319
1/28/2014 15:59:59,318
1/29/2014 15:59:59,321
1/30/2014 15:59:59,307
2/3/2014 15:59:59,307
2/4/2014 15:59:59,302
2/5/2014 15:59:59,308
2/6/2014 15:59:59,309
2/7/2014 15:59:59,310
2/10/2014 15:59:59,306
2/11/2014 15:59:59,315
2/12/2014 15:59:59,304
2/13/2014 15:59:59,304
2/14/2014 15:59:59,306
2/17/2014 15:59:59,304
2/18/2014 15:59:59,327
2/19/2014 15:59:59,328
2/20/2014 15:59:59,323
2/21/2014 15:59:59,326
2/24/2014 15:59:59,331
2/25/2014 15:59:59,326
2/26/2014 15:59:59,315
2/27/2014 15:59:59,316
2/28/2014 15:59:59,325
3/3/2014 15:59:59,318
3/4/2014 15:59:59,324
3/5/2014 15:59:59,325
3/6/2014 15:59:59,319
3/7/2014 15:59:59,320
3/10/2014 15:59:59,314
3/11/2014 15:59:59,310
3/12/2014 15:59:59,303
3/13/2014 15:59:59,330
3/14/2014 15:59:59,311
3/18/2014 15:59:59,306
3/19/2014 15:59:59,308
3/20/2014 15:59:59,305
3/21/2014 15:59:59,300
3/24/2014 15:59:59,300
3/25/2014 15:59:59,282
3/26/2014 15:59:59,286
3/27/2014 15:59:59,275
3/28/2014 15:59:59,269
4/1/2014 15:59:59,257
4/2/2014 15:59:59,264
4/3/2014 15:59:59,264
4/4/2014 15:59:59,263
4/7/2014 15:59:59,262
4/8/2014 15:59:59,251
4/10/2014 15:59:59,228
4/11/2014 15:59:59,231
4/14/2014 15:59:59,231
4/15/2014 15:59:59,204
4/16/2014 15:59:59,215
4/17/2014 15:59:59,210
4/21/2014 15:59:59,211
4/22/2014 15:59:59,211
4/23/2014 15:59:59,205
4/24/2014 15:59:59,204
4/25/2014 15:59:59,204
4/28/2014 15:59:59,196
4/29/2014 15:59:59,194
4/30/2014 15:59:59,204
5/2/2014 15:59:59,200
